2024-11-28 18:07:21,677: d
2024-11-28 18:07:21,848: f
2024-11-28 18:07:22,016: d
2024-11-28 18:07:22,891: f
2024-11-28 18:07:23,414: s
2024-11-28 18:07:23,561: d
2024-11-28 18:07:23,741: f
2024-11-28 18:07:24,152: s
2024-11-28 18:07:24,219: d
2024-11-28 18:07:26,498: f
2024-11-28 18:07:26,806: d
2024-11-28 18:07:26,900: s
2024-11-28 18:07:27,032: f
2024-11-28 18:07:27,335: d
2024-11-28 18:07:28,806: [Esc]
2024-11-28 18:07:58,319: w
2024-11-28 18:07:58,559: e
2024-11-28 18:07:58,759: l
2024-11-28 18:07:58,944: l
2024-11-28 18:07:59,312: [Space]
2024-11-28 18:07:59,611: i
2024-11-28 18:07:59,861: f
2024-11-28 18:07:59,984: [Space]
2024-11-28 18:08:00,193: [Shift]
2024-11-28 18:08:00,298: I
2024-11-28 18:08:00,359: [Space]
2024-11-28 18:08:00,732: f
2024-11-28 18:08:00,832: i
2024-11-28 18:08:00,900: n
2024-11-28 18:08:01,062: d
2024-11-28 18:08:01,319: [Space]
2024-11-28 18:08:01,847: a
2024-11-28 18:08:02,161: [Space]
2024-11-28 18:08:04,122: a
2024-11-28 18:08:04,496: p
2024-11-28 18:08:04,662: p
2024-11-28 18:08:04,919: l
2024-11-28 18:08:05,188: e
2024-11-28 18:08:05,549: [Space]
2024-11-28 18:08:06,129: [Esc]
